Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
21,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,eToro (4),514976751,,0.52,514976751
22,rBntsdo3fAS5sb3pqe7LvvxTS8qngFYAe1,,502457227,,0.5,502457227
23,rsjFB8mPWqiZgPUaVh8XYqdfa59PE2d5LG,Ripple (23),201,500000000,0.5,500000201
24,rp6aTJmW3nq1aKt3Jmuz4DPRxksT5PBjpH,Ripple (22),200,500000000,0.5,500000200
25,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,UPbit (12),500000113,,0.5,500000113
26,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,UPbit (13),500000111,,0.5,500000111
27,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,UPbit (14),500000071,,0.5,500000071
28,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,UPbit (21),500000024,,0.5,500000024
29,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,UPbit (19),500000023,,0.5,500000023
30,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,UPbit (20),500000023,,0.5,500000023
31,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,UPbit (18),500000023,,0.5,500000023
32,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,UPbit (17),500000023,,0.5,500000023
33,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,UPbit (16),500000023,,0.5,500000023
34,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,UPbit (15),500000023,,0.5,500000023
35,rDfrrrBJZshSQDvfT2kmL9oUBdish52unH,chrislarsen (4),500000001,,0.5,500000001
36,rD6tdgGHG7hwGTA6P39aE7W89fbqxXRjzk,chrislarsen (3),500000001,,0.5,500000001
37,r476293LUcDqtjiSGJ5Dh44J1xBCDWeX3,chrislarsen (1),500000000,,0.5,500000000
38,r44CNwMWyJf4MEA1eHVMLPTkZ1LSv4Bzrv,chrislarsen (2),500000000,,0.5,500000000
39,rB1kVfLSxpXCw7sLCBcm5LFZYzkS6xmwSK,,421234423,,0.42,421234423
40,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,chrislarsen (5),399999990,,0.4,399999990
41,rKUhycGCu19u3GahFVSCqP5fBfCEzSoQbF,,394108589,,0.39,394108589
42,raFi32MjMmYehvVL3h7aW9pXZFcYJWV5eB,,389918999,,0.39,389918999
43,rpPcmcGQ5iTXDc5zF5owxwTifkTs1qYrA6,,382162270,,0.38,382162270
44,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,Bybit (6),327378588,,0.33,327378588
45,rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,Binance (XRP-BF2 Reserve),325800010,,0.33,325800010
46,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),323968637,,0.32,323968637
47,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,SBI VC Trade (4),320025879,,0.32,320025879
48,rLD5k36bJkNk1HkYSSCJwM4jBXChHjRViQ,,310820819,,0.31,310820819
49,rPoJNiCk7XSFLR28nH2hAbkYqjtMC3hK2k,chrislarsen (6),300188448,,0.3,300188448
50,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,Crypto.com (4),289847788,83000,0.29,289930788
51,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,Coinone (5),277439979,,0.28,277439979
52,rBB8peCvJcSbkmuQSe6ct6cujqNzz465cB,,268136394,,0.27,268136394
53,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,Kraken (2),265582363,,0.27,265582363
54,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,Binance (17),257281647,,0.26,257281647
55,rstryhbE73v18SnJ3R8j1FSNYFWCSdELEd,,242749267,,0.24,242749267
56,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,OKX,226423875,250,0.23,226424125
57,rH5wodHpZzeXBAWE36nMoRXGqeEjSdbzWU,,218802633,,0.22,218802633
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,212132922,,0.21,212132922
59,rPh2BtTsJWsVLKUtp5RY6J9fTFekDgoQHN,,210669138,,0.21,210669138
60,rwBS6P88HnmTGkRgms78uM51LQL9p6Fcyb,Ripple (48),200000035,,0.2,200000035
61,rE5Ekd2hTy62WNbCfpsN9DEC4bd8utr5Cx,Ripple (46),200000025,,0.2,200000025
62,rpynXLU7rAHtdKmdwgiVqLSfz9xwDvK4hy,Ripple (47),200000025,,0.2,200000025
63,rBZz5VCEXpYzvhN8jWCC2Sb2QVDzsM5WKs,Ripple (49),200000025,,0.2,200000025
64,rG2eEaeiJou6cVQ3KtX7XMNwGhuW99xmHP,ahbritto (12),200000000,,0.2,200000000
65,ragKXjY7cBTXUus32sYHZVfkY46Nt2Q829,ahbritto (4),200000000,,0.2,200000000
66,rsF9cc6gniHLTR2Jng29ng21ez7L9PpmPt,ahbritto (5),200000000,,0.2,200000000
67,rJ5EJYsW6Vkeruj1LAmQYq3VP7QUQKBH1W,ahbritto (6),200000000,,0.2,200000000
68,rsXNUCJkXeyFuGHyfRnuWPita2ns32upBD,ahbritto (3),200000000,,0.2,200000000
69,rQKZSMgmBJvv3FvWj1vuGjUXnegTqJc25z,ahbritto (2),199999950,,0.2,199999950
70,rhtufNsYfrozs4GvSq4HMYcR9y3dg8FWdC,Ripple (52),195000080,,0.2,195000080
71,r4AUYDBeV8YaLDZwuXG28CQgZ8XrThy8F2,,182720018,,0.18,182720018
72,rP8GfS4Ku43STM9kHEoKeWVvhV1E525zfo,,180107804,,0.18,180107804
73,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,bitFlyer (4),179175300,,0.18,179175300
74,rfT19bmhihA4dc9YwRmmS3bHtN8eNee1EG,,157263745,,0.16,157263745
75,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,Uphold (4),152565973,,0.15,152565973
76,rP4X2hTa7A7udDbE6wczXvPz7XZ63sKxv3,,152533033,,0.15,152533033
77,rnuDDzvYWTPqXTDVvwE9oLGLgxzV7Rpnpe,,145200053,,0.14,145200053
78,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,KuCoin (7),141768080,,0.14,141768080
79,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,Gemini (1),140442883,150,0.14,140443033
80,rQUUAjDPTLWTEHrpNtQvryUdvd1afc6TcB,,134872094,,0.14,134872094
81,rhDTe4SW6Tg4g3uWy66xJUuitsNYaRGgHZ,,128442119,,0.13,128442119
82,rEbXa31msPbPDZgmLMKH7CaKaf7VipoLBo,,126392005,,0.13,126392005
83,rLUrobvcPHmbRVgzgGA6Vsp7Eu7yBQpEQe,,125981946,,0.13,125981946
84,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,Korbit (7),122521471,,0.12,122521471
85,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,BTC Markets (1),118193347,,0.12,118193347
86,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,Binance (6),115057749,,0.12,115057749
87,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),109995860,,0.11,109995860
88,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,108590741,,0.11,108590741
89,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,107914223,,0.11,107914223
90,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,106658449,,0.11,106658449
91,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,106251805,,0.11,106251805
92,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,102720372,,0.1,102720372
93,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,101259358,,0.1,101259358
94,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,100000959,,0.1,100000959
95,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,100000001,,0.1,100000001
96,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),99999999,,0.1,99999999
97,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,98028232,,0.1,98028232
98,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,92946065,,0.09,92946065
99,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),90401198,50,0.09,90401248
100,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,90000143,,0.09,90000143
101,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),88196139,,0.09,88196139
102,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,86075877,,0.09,86075877
103,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,79950443,,0.08,79950443
104,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,79860567,,0.08,79860567
105,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,75582615,,0.08,75582615
106,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,74064236,,0.07,74064236
107,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,71743825,,0.07,71743825
108,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,69678188,,0.07,69678188
109,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,67674630,,0.07,67674630
110,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,63354121,,0.06,63354121
111,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,62659437,,0.06,62659437
112,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,60919380,,0.06,60919380
113,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,58261030,,0.06,58261030
114,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),57941995,,0.06,57941995
115,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,57519942,,0.06,57519942
116,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),57435976,,0.06,57435976
117,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),54203491,,0.05,54203491
118,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,53730133,,0.05,53730133
119,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,53730122,,0.05,53730122
120,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,53730122,,0.05,53730122
121,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,53730112,,0.05,53730112
122,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),53067191,,0.05,53067191
123,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,52484468,,0.05,52484468
124,rEjne8Fg1ejafc9Js6BPjJjXEDRBTyyZre,,52200013,,0.05,52200013
125,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,52000021,,0.05,52000021
126,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,50000090,,0.05,50000090
127,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,Gate.io (1),49444846,50000,0.05,49494846
128,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),49338795,1000,0.05,49339795
129,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),48438784,,0.05,48438784
130,r3BFHL2EXZN4darZ7vH7BT7tP9tN7tyd6W,,46974481,,0.05,46974481
131,rUUn2LzyYDbMRcCKXyGh1m9yTd2CvJQHd7,,45511055,,0.05,45511055
132,rJoFuF6WaDxs4U94uKB9j5xomPstwRG1zN,,44419924,,0.04,44419924
133,razaE6HTEMUc9ogMYwmBT5GQk2b9qtbTnC,,43494455,,0.04,43494455
134,rf3QABZy2pexNqfbzyxXsTwY5iXRfNE1VP,,43362599,,0.04,43362599
135,rHU6iE3RcZTWvSAkQuFdYVFjRHWtsFNRk7,,42671245,,0.04,42671245
136,rfzng8CpncsP2ZH2UhZPHpnE2wMoRhK9M4,,42170189,,0.04,42170189
137,r9V6GYWRQNLgveGrn8JkCRTU9GA8Phzufy,,40616559,,0.04,40616559
138,r9qV5rKHJhRGwCnbZsgND4hsuHLH8UhVE4,,40154076,,0.04,40154076
139,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,40017873,,0.04,40017873
140,rGzX1VMQpextCR98yYEHS2W7DCtRPTK3WF,,36983190,,0.04,36983190
141,rrKjsvBUgcok6UL6vHwmdrM8M9mxw5ohP,,36230597,,0.04,36230597
142,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,Bitget Global,36125070,20,0.04,36125090
143,rUWUJ2F3aZknSd8PVutoMnxowMK792maTD,,35930865,,0.04,35930865
144,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,,35142136,,0.04,35142136
145,rV9JsBSFRMdcxwAFAA6wbzgdYfAHpjN9f,,34739035,,0.04,34739035
146,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,Bybit (4),34235182,,0.03,34235182
147,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,,33587853,,0.03,33587853
148,rMn4SutY41iGtMC87EE9BZ8hFSgBLCZdog,,33507237,,0.03,33507237
149,rJw1o6M4HhQ7i5gbuhkRdZQSg5bDMFYS4W,,32977448,,0.03,32977448
150,rsSxRNdYoajcAvGe6c5fNYG4vuKu4kMxDW,,32851617,,0.03,32851617
151,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,,32080006,,0.03,32080006
152,rBjDVYtYxkBjcSbzMkSfnc31iSw8nsGR74,,30999900,,0.03,30999900
153,rfycjrGRMav6xcxcWyQ5JKjBFQXbog5K6q,,30999853,,0.03,30999853
154,rKbs6qhu8orUJTdNf2q8zbBHGLKJbRYgr1,,30528274,,0.03,30528274
155,rGNVd8ypXAAtExDGsJ7sV3feoPdwJ9wwAe,,30512905,,0.03,30512905
156,rLoD9U2ghXP2xUYbtML6G6v1p8LhM9mSnc,,30098410,,0.03,30098410
157,rKuP5k67YtHzsCmSQp7votF7u4afp4uNcm,,30023899,,0.03,30023899
158,rPnETQb36p2UzP3bWPuqUeUicxTb9NLEdt,,30000022,,0.03,30000022
159,rhDgyndaMdJXHGYHiSafy6aLynfcjofwmy,,30000018,,0.03,30000018
160,rG5NJxrKGUgrsoLgBjddvpE8NfqLAgA95q,,30000011,,0.03,30000011
161,rsTtGH7a9mom5X8Y9D3kxroXWvA912RgUZ,Coinbase (Cold 176),29576571,,0.03,29576571
162,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,CoinJar,29571496,,0.03,29571496
163,r417XbsvuBJpkMC4eHtGpvAHxgC24mb6Nc,Coinbase (Cold 193),29532544,,0.03,29532544
164,rNaJVWotxZ9nGTBiHRWR6LR1deXHa8FRLf,Coinbase (Cold 418),29532544,,0.03,29532544
165,rEWBvZyGHsQfofVJrmWRyvu7vhBB53r622,Coinbase (Cold 343),29532544,,0.03,29532544
166,rPeuuqP9rNhskesoA3ferKfp6VT5SvLAzU,Coinbase (Cold 299),29532544,,0.03,29532544
167,raMRJ2d3djqwSUBK28W31R7aJQfK21zU1C,Coinbase (Cold 456),29532544,,0.03,29532544
168,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,Coinbase (Cold 399),29532544,,0.03,29532544
169,rGG4LZruYFJ34PNCi1doapgA1hynz3gxX7,Coinbase (Cold 125),29532544,,0.03,29532544
170,r9mkuV6bpvok7SZ8Zargiw5KzZHDFbaApy,Coinbase (Cold 285),29532544,,0.03,29532544
171,rnVcQzWJP2sJbJF3GgvdAeqveW1V7dT2Vq,Coinbase (Cold 283),29532544,,0.03,29532544
172,rGriTJKG1i71mLssnwqoV6gPbSEv45nqur,Coinbase (Cold 236),29532544,,0.03,29532544
173,rNSFNMo5kfmZWR5Ryb3ZVEMm1ZncxwzMqa,,28619715,,0.03,28619715
174,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,27983802,,0.03,27983802
175,rntSEfdZsxinHymMJDTbxFfZcgwPLBtPb9,,27983801,,0.03,27983801
176,r3Yg4mv2YyBkgdUvctgbnTYtYu3w69rVAS,,27983800,,0.03,27983800
177,rf9HoxMbbc7esbskFxdvjpPgjVdtRb4Mru,,27983800,,0.03,27983800
178,rsgwNP2cyRHAcEbuRmboDQ4pmgemMNVZR3,,27847007,,0.03,27847007
179,rPgeFVvofU6zAL6L4AMfgKYQUtUoPeiQbV,,27551278,,0.03,27551278
180,rMC8Gih4GNNJL2QNbyfNHYEwjneX1LHdcc,,27425010,,0.03,27425010
181,rBRaRTaq99U216NSDt7dFRrfzAtZzyrgS6,Coinbase (Cold 188),27108604,,0.03,27108604
182,rPkUBHkNA41SDWk4RWuXUtKqHJb1oBARiv,,27066768,,0.03,27066768
183,rsVDKTbUceVQqNKrSzYj8HtkVcS7TuRWSN,Coinbase (Cold 36),27047891,,0.03,27047891
184,rBj8PDBTKKuXWJaWbaEtdkV8hq4oxRWhsB,Coinbase (Cold 392),27028666,,0.03,27028666
185,rMJbEvjzqVeGJHs5ySZvuF2dHhWKx69t6G,Coinbase (Cold 100),26951693,,0.03,26951693
186,rw4rHH5LrTUZ5WDXieCPT14E89PwnmXtoV,Coinbase (Cold 48),26897003,,0.03,26897003
187,rNbMpc8JgLKnXs51KVYAmt4zbDvE8kgQEi,Coinbase (Cold 232),26897003,,0.03,26897003
188,rGzwBVxutLLaxfeE4mJWrxHX1SMRxjo7Am,,26700030,,0.03,26700030
189,rnaxGortNCoxkWUq18jCGmQDeCrLBmiz42,Coinbase (Cold 92),26671745,,0.03,26671745
190,rMsfxSZfdj3F1vBeVRte6b83LMV4AtZAHX,Coinbase (Cold 434),26671745,,0.03,26671745
191,rf9CWxJKUwHm4eZo3Z8SHi6Z1D6RoqFqqq,Coinbase (Cold 196),26671745,,0.03,26671745
192,rKmcvfZ4AeVCsJDNLZg3Xwbs86F33sC6bR,Coinbase (Cold 78),26671745,,0.03,26671745
193,rBiCL18zasvY9e8M2ZSub6gyYfzmfK4356,,26600010,,0.03,26600010
194,rhyp1uMC9Xyj3Px8amUH3xVv6tbjYJkojs,Ripple (35),26575132,,0.03,26575132
195,rGMrBbRhpBLhZMzEKQTqhfGQnaTHhrfZCw,,26444446,,0.03,26444446
196,r9YMphxsqY1CQckqzDwfsutJhs9CwbWh97,,26399087,,0.03,26399087
197,rnYzsCmvD35kBntkY5g4kf7hStMGKSQfwz,Coinbase (Cold 149),26371811,,0.03,26371811
198,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,Binance (16),26262461,,0.03,26262461
199,rwvzy5nyGYfQKrgRFARGda6uCtnxLyGRBA,,26027469,,0.03,26027469
200,rwKpWJ54xAZFm5DTr7GUjREx6AK3MpAfae,,25657341,,0.03,25657341
201,rJQC2RzzALgus6ZZgu34nXnpz67v3bRSzi,Coinbase (Cold 210),25526876,,0.03,25526876
202,rGoDpsHfkkSvNatyXHZPiJk7qydd7uahQz,Coinbase (Cold 183),25498189,,0.03,25498189
203,r939VcVXx5Zx9wJ1TL61StPEKaqaYf75XQ,Coinbase (Cold 104),25498189,,0.03,25498189
204,r9rg8WT6KPXE8FGYbsGG6YaEG6wrbLxqF9,Coinbase (Cold 206),25498189,,0.03,25498189
205,raQ3drgGw2eFHTnck6SZxKe2JhQr8Lm8w1,Coinbase (Cold 108),25498189,,0.03,25498189
206,rNYW2bie6KwUSYhhtcnXWzRy5nLCa1UNCn,Bitrue Insurance Fund,25038857,,0.03,25038857
207,rPGnixkUqn7gSgj8MfdUt9S2vjqfT9Lrnw,,25000051,,0.03,25000051
208,r4UuSEwzgjY5CugYNEWqA49hxvvE9ivJne,,25000001,,0.03,25000001
209,rLFcVmFnZXEds2qQ4WH8A5U7xaKEzzkrBa,,25000001,,0.03,25000001
210,r38387ANCJNTnfEeJXZ8DMEsCq9g28w7qJ,,25000000,,0.03,25000000
211,rscK4E94r6KHfPxMCqpH5SB9q5M1NQDtAn,,25000000,,0.03,25000000
212,rftUgG8yQLcSRecihGfPsRPez6g7ap7yz2,,25000000,,0.03,25000000
213,rp5kDwvghkEVQa48Yc7dyeBK6GUZfrdxYe,,25000000,,0.03,25000000
214,rwo9VH8iyq89ZaEipFsFsLgSrMABUkbBVY,,25000000,,0.03,25000000
215,rnxe6F9Vtqtb9RNoKxuPtgrttEtFHM1aiA,,24954962,,0.03,24954962
216,rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,Bitstamp (1),24809674,500,0.03,24810174
217,rJnUXy7x3RW58Kien2eFtZEY2Pa3HBvpQ2,,24514112,,0.03,24514112
218,rEMjkJvtZ84uZYU7EpX8GYVbN2BrscTE9Z,,24467929,,0.02,24467929
219,rM7mvLE99LSt5DE7GvcnHVEgefzCZL2T4x,,24400000,,0.02,24400000
220,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,Bitkub (3),24264203,,0.02,24264203
221,rp8Ygdyi2u7DZuMbchpFKBpsgSeg4LXDFQ,,23839902,,0.02,23839902
222,rNUSc5uLSSjf5jrzwPL4TsVab2QM62pgwX,,23599978,,0.02,23599978
223,rsCRCZmdw55EdXXAsQYExFLH5zrvbaFaAm,,23452180,,0.02,23452180
224,rJLsUWGG45Qb4fkJjFuxASdzrJh5gqD2TW,,23225000,,0.02,23225000
225,rJNVodKWXZMZfCd7BGGJpPYPuCdWHyNBq1,,22700000,,0.02,22700000
226,rJ1v4yzovV2BpDav4MegBeejPgwmPZZCNa,,22297094,,0.02,22297094
227,rGDhPiBmiB3NJPPg6WTPC5x1eNnXxh8xf4,,21690020,,0.02,21690020
228,rPmu958m6DTNZ6qfTJbLisHSv3w6BaJrgh,,21606660,,0.02,21606660
229,r9YMtQKy8uBkV66cyCvwiixmqE1VSudoBE,,21592269,,0.02,21592269
230,r4vVDzQJsT7HqmPoJy21RGJVUBFUXsQSXT,,21325083,,0.02,21325083
231,rfoQcefqg2eWkR73GTCiqgG1zbii8a2WQJ,,20976400,,0.02,20976400
232,rEENamLrBTUw52GMUjwaogKzonHScXTGyy,,20658997,,0.02,20658997
233,rnWnrbjNw5Ezdqy51a769Rror8U3xRkYxK,Coinbase (Cold 137),20525459,,0.02,20525459
234,rJR2LhwvGW1o5pGKix932ygARegeBGrUf5,,20449743,,0.02,20449743
235,rP4nVwhU3vqwxrPomeBems5h9ZbH2236gU,,20422105,,0.02,20422105
236,r3F5NsyiGwVYs2Rs3cCcrVw4t5wZP2ZxRr,Ripple (6),20000105,,0.02,20000105
237,rKe7pZPwdKEubmEDCAu9djJVsQfK4Atmzr,,20000001,,0.02,20000001
238,rHpmLokR3S5DVvHDDrKzGmhy73USWAV82R,,19990016,,0.02,19990016
239,rNu9U5sSouNoFunHp9e9trsLV6pvsSf54z,Gate.io (4),19923000,,0.02,19923000
240,rPEPYN8sHU3cytBwVm69qPbVztaoj7wNf,Mercado Bitcoin (3),19735794,,0.02,19735794
241,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,Bitfinex (1),19522970,500,0.02,19523470
242,rE9Y3vr1G91YVU8RogzdY84xb48N3rKnvE,,19451792,,0.02,19451792
243,rwSgtqHqWtQGb2SduQQNfwRa1YK9AMtQrR,,19418357,,0.02,19418357
244,r3KfqsuMjp85ddhNN2xNAAbmrNKUgFbcpk,,19369746,,0.02,19369746
245,rETGh3sCUHgXxru589FrpFQK9CJgBWj8Kw,,18948197,,0.02,18948197
246,r93oSNBKuFjuKt8GxhF8VYaGzzwsNDPaX5,Ripple (31),18744808,,0.02,18744808
247,r4qg4tANY3iXLchsFSm62mc2wmQyKvX3qf,,18400000,,0.02,18400000
248,rhw8wP5dNi5xtRS4ne5kdtxsejf8W2M7iD,,18300000,,0.02,18300000
249,rDPsqUeQCjkgfVJe2GEdxq9k8zwAx3YAkz,,18300000,,0.02,18300000
250,r3EjD8wKrtWbsjZxaSfAoifEDWosh49Twe,,17987068,,0.02,17987068
251,r4Pr9aBnqN84hbkmJo4HwUtLj63E5vGFyE,,17960406,,0.02,17960406
252,rDvdAQYaU8EnKH7c6F4W51ywWV58dJCWCx,,17799978,,0.02,17799978
253,rUzUMfsvSYxj9nMHRnSeYQXkY1rfoXgdZN,,17673785,,0.02,17673785
254,rUHDGGUSVPS6HcGrr5r67EQ4LTC4Kis3HR,,17643306,,0.02,17643306
255,rDzukHGHcJRH5CqUBfo18p8ySGaciD2cyz,,17471209,,0.02,17471209
256,raHzpPMCZKQpYBpwxXTbak2ZhYp89fjTS3,,16999956,,0.02,16999956
257,rwTjgH22nenAtDpPWy4g7xPhBqhVU845Az,Coinbase (Cold 265),16830264,,0.02,16830264
258,rBAzrxLFZSqni5K67kPqX3WN7VLDTcUVWJ,Coinbase (Cold 375),16820747,,0.02,16820747
259,rnioNuMG47FKY7sZ82EtKt1kBfD4Lg5M4S,Coinbase (Cold 122),16820483,,0.02,16820483
260,rMAxoQbdkCHYpH9VTmdiyrR1F7T4Yvyk2k,Coinbase (Cold 400),16814137,,0.02,16814137
261,rUejaQ5zgB7fMKhj72SPK7xAdGo6ujx2ca,Coinbase (Cold 87),16812902,,0.02,16812902
262,rGK3t5Ppw46RciqcHtrUtvcvhD7M99HJvU,Coinbase (Cold 379),16812124,,0.02,16812124
