Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
21,rUeDDFNp2q7Ymvyv75hFGC8DAcygVyJbNF,Kraken (2),558410408,,0.56,558410408
22,rEvwSpejhGTbdAXbxRTpGAzPBQkBRZxN5s,eToro (4),514976751,,0.52,514976751
23,rBntsdo3fAS5sb3pqe7LvvxTS8qngFYAe1,,502457227,,0.5,502457227
24,rsjFB8mPWqiZgPUaVh8XYqdfa59PE2d5LG,Ripple (23),201,500000000,0.5,500000201
25,rp6aTJmW3nq1aKt3Jmuz4DPRxksT5PBjpH,Ripple (22),200,500000000,0.5,500000200
26,rfL1mn4VTCoHdhHhHMwqpShCFUaDBRk6Z5,UPbit (12),500000113,,0.5,500000113
27,rwa7YXssGVAL9yPKw6QJtCen2UqZbRQqpM,UPbit (13),500000111,,0.5,500000111
28,rNcAdhSLXBrJ3aZUq22HaNtNEPpB5fR8Ri,UPbit (14),500000071,,0.5,500000071
29,r4G689g4KePYLKkyyumM1iUppTP4nhZwVC,UPbit (21),500000024,,0.5,500000024
30,rJo4m69u9Wd1F8fN2RbgAsJEF6a4hW1nSi,UPbit (19),500000023,,0.5,500000023
31,rLgn612WAgRoZ285YmsQ4t7kb8Ui3csdoU,UPbit (20),500000023,,0.5,500000023
32,rs48xReB6gjKtTnTfii93iwUhjhTJsW78B,UPbit (18),500000023,,0.5,500000023
33,rJWbw1u3oDDRcYLFqiWFjhGWRKVcBAWdgp,UPbit (17),500000023,,0.5,500000023
34,rMNUAfSz2spLEbaBwPnGtxTzZCajJifnzH,UPbit (16),500000023,,0.5,500000023
35,r38a3PtqW3M7LRESgaR4dyHjg3AxAmiZCt,UPbit (15),500000023,,0.5,500000023
36,rDfrrrBJZshSQDvfT2kmL9oUBdish52unH,chrislarsen (4),500000001,,0.5,500000001
37,rD6tdgGHG7hwGTA6P39aE7W89fbqxXRjzk,chrislarsen (3),500000001,,0.5,500000001
38,r476293LUcDqtjiSGJ5Dh44J1xBCDWeX3,chrislarsen (1),500000000,,0.5,500000000
39,r44CNwMWyJf4MEA1eHVMLPTkZ1LSv4Bzrv,chrislarsen (2),500000000,,0.5,500000000
40,rB1kVfLSxpXCw7sLCBcm5LFZYzkS6xmwSK,,420876634,,0.42,420876634
41,rhREXVHV938ToGkdJQ9NCYEY4x8kSEtjna,chrislarsen (5),399999990,,0.4,399999990
42,rKUhycGCu19u3GahFVSCqP5fBfCEzSoQbF,,394108589,,0.39,394108589
43,raFi32MjMmYehvVL3h7aW9pXZFcYJWV5eB,,389092946,,0.39,389092946
44,rpPcmcGQ5iTXDc5zF5owxwTifkTs1qYrA6,,382162270,,0.38,382162270
45,raQxZLtqurEXvH5sgijrif7yXMNwvFRkJN,Bybit (6),327378588,,0.33,327378588
46,rJpj1Mv21gJzsbsVnkp1U4nqchZbmZ9pM5,Binance (XRP-BF2 Reserve),325800010,,0.33,325800010
47,rNRc2S2GSefSkTkAiyjE6LDzMonpeHp6jS,SBI VC Trade (4),319912171,,0.32,319912171
48,rLD5k36bJkNk1HkYSSCJwM4jBXChHjRViQ,,310820819,,0.31,310820819
49,rPoJNiCk7XSFLR28nH2hAbkYqjtMC3hK2k,chrislarsen (6),300188448,,0.3,300188448
50,rKNwXQh9GMjaU8uTqKLECsqyib47g5dMvo,Crypto.com (4),292697819,83000,0.29,292780819
51,rDKw32dPXHfoeGoD3kVtm76ia1WbxYtU7D,Coinone (5),274124979,,0.27,274124979
52,rBB8peCvJcSbkmuQSe6ct6cujqNzz465cB,,267167604,,0.27,267167604
53,rP3mUZyCDzZkTSd1VHoBbFt8HGm8fyq8qV,Binance (17),257281647,,0.26,257281647
54,rstryhbE73v18SnJ3R8j1FSNYFWCSdELEd,,242665233,,0.24,242665233
55,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,OKX,227257911,250,0.23,227258161
56,rP4X2hTa7A7udDbE6wczXvPz7XZ63sKxv3,,219533033,,0.22,219533033
57,rH5wodHpZzeXBAWE36nMoRXGqeEjSdbzWU,,218802633,,0.22,218802633
58,rprAu33H7PLUc24EYiMcD3HKcZG18PFkzQ,,212132922,,0.21,212132922
59,rPh2BtTsJWsVLKUtp5RY6J9fTFekDgoQHN,,210669138,,0.21,210669138
60,rwBS6P88HnmTGkRgms78uM51LQL9p6Fcyb,Ripple (48),200000035,,0.2,200000035
61,rE5Ekd2hTy62WNbCfpsN9DEC4bd8utr5Cx,Ripple (46),200000025,,0.2,200000025
62,rpynXLU7rAHtdKmdwgiVqLSfz9xwDvK4hy,Ripple (47),200000025,,0.2,200000025
63,rBZz5VCEXpYzvhN8jWCC2Sb2QVDzsM5WKs,Ripple (49),200000025,,0.2,200000025
64,rG2eEaeiJou6cVQ3KtX7XMNwGhuW99xmHP,ahbritto (12),200000000,,0.2,200000000
65,ragKXjY7cBTXUus32sYHZVfkY46Nt2Q829,ahbritto (4),200000000,,0.2,200000000
66,rsF9cc6gniHLTR2Jng29ng21ez7L9PpmPt,ahbritto (5),200000000,,0.2,200000000
67,rJ5EJYsW6Vkeruj1LAmQYq3VP7QUQKBH1W,ahbritto (6),200000000,,0.2,200000000
68,rsXNUCJkXeyFuGHyfRnuWPita2ns32upBD,ahbritto (3),200000000,,0.2,200000000
69,rQKZSMgmBJvv3FvWj1vuGjUXnegTqJc25z,ahbritto (2),199999950,,0.2,199999950
70,rhtufNsYfrozs4GvSq4HMYcR9y3dg8FWdC,Ripple (52),195000080,,0.2,195000080
71,r4AUYDBeV8YaLDZwuXG28CQgZ8XrThy8F2,,182720018,,0.18,182720018
72,rP8GfS4Ku43STM9kHEoKeWVvhV1E525zfo,,180107804,,0.18,180107804
73,rhWVCsCXrkwTeLBg6DyDr7abDaHz3zAKmn,bitFlyer (4),179046774,,0.18,179046774
74,rfT19bmhihA4dc9YwRmmS3bHtN8eNee1EG,,157263745,,0.16,157263745
75,rBEc94rUFfLfTDwwGN7rQGBHc883c2QHhx,Uphold (4),152565973,,0.15,152565973
76,rnuDDzvYWTPqXTDVvwE9oLGLgxzV7Rpnpe,,145200053,,0.14,145200053
77,rBxszqhQkhPALtkSpGuVeqR6hNtZ8xTH3T,KuCoin (7),141768080,,0.14,141768080
78,raBQUYdAhnnojJQ6Xi3eXztZ74ot24RDq1,Gemini (1),140802556,150,0.14,140802706
79,rDAE53VfMvftPB4ogpWGWvzkQxfht6JPxr,Binance (6),136762732,,0.14,136762732
80,rQUUAjDPTLWTEHrpNtQvryUdvd1afc6TcB,,134507223,,0.14,134507223
81,rhDTe4SW6Tg4g3uWy66xJUuitsNYaRGgHZ,,129542119,,0.13,129542119
82,rEbXa31msPbPDZgmLMKH7CaKaf7VipoLBo,,126392005,,0.13,126392005
83,rLUrobvcPHmbRVgzgGA6Vsp7Eu7yBQpEQe,,125981946,,0.13,125981946
84,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,Korbit (7),122521471,,0.12,122521471
85,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,BTC Markets (1),118193347,,0.12,118193347
86,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),109995860,,0.11,109995860
87,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,108560351,,0.11,108560351
88,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,107914223,,0.11,107914223
89,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,106636955,,0.11,106636955
90,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,106251805,,0.11,106251805
91,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,101259358,,0.1,101259358
92,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,100000959,,0.1,100000959
93,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,100000001,,0.1,100000001
94,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),99999999,,0.1,99999999
95,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,96015359,,0.1,96015359
96,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,92865133,,0.09,92865133
97,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),90401197,50,0.09,90401247
98,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,90000143,,0.09,90000143
99,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),88196139,,0.09,88196139
100,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,86075877,,0.09,86075877
101,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,79950443,,0.08,79950443
102,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,79860567,,0.08,79860567
103,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,74064236,,0.07,74064236
104,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,72761791,,0.07,72761791
105,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),71803062,,0.07,71803062
106,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,71385682,,0.07,71385682
107,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,69678188,,0.07,69678188
108,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,67674630,,0.07,67674630
109,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,63354121,,0.06,63354121
110,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,62659437,,0.06,62659437
111,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,60919380,,0.06,60919380
112,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,58261030,,0.06,58261030
113,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),57941995,,0.06,57941995
114,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,57555495,,0.06,57555495
115,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),57435976,,0.06,57435976
116,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),54203491,,0.05,54203491
117,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,53730133,,0.05,53730133
118,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,53730122,,0.05,53730122
119,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,53730122,,0.05,53730122
120,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,53730112,,0.05,53730112
121,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,53453372,,0.05,53453372
122,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,52484468,,0.05,52484468
123,rEjne8Fg1ejafc9Js6BPjJjXEDRBTyyZre,,52200013,,0.05,52200013
124,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,52000021,,0.05,52000021
125,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,50000090,,0.05,50000090
126,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,Gate.io (1),49553074,50000,0.05,49603074
127,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),49409004,1000,0.05,49410004
128,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),48438784,,0.05,48438784
129,r3BFHL2EXZN4darZ7vH7BT7tP9tN7tyd6W,,46974481,,0.05,46974481
130,rUUn2LzyYDbMRcCKXyGh1m9yTd2CvJQHd7,,45511055,,0.05,45511055
131,rJoFuF6WaDxs4U94uKB9j5xomPstwRG1zN,,44419924,,0.04,44419924
132,razaE6HTEMUc9ogMYwmBT5GQk2b9qtbTnC,,43494455,,0.04,43494455
133,rf3QABZy2pexNqfbzyxXsTwY5iXRfNE1VP,,43187599,,0.04,43187599
134,rHU6iE3RcZTWvSAkQuFdYVFjRHWtsFNRk7,,42671245,,0.04,42671245
135,rsSxRNdYoajcAvGe6c5fNYG4vuKu4kMxDW,,42616617,,0.04,42616617
136,rfzng8CpncsP2ZH2UhZPHpnE2wMoRhK9M4,,42170189,,0.04,42170189
137,r9V6GYWRQNLgveGrn8JkCRTU9GA8Phzufy,,40616559,,0.04,40616559
138,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,40017873,,0.04,40017873
139,r9qV5rKHJhRGwCnbZsgND4hsuHLH8UhVE4,,39740833,,0.04,39740833
140,rGDreBvnHrX1get7na3J4oowN19ny4GzFn,Bitget Global,37169207,20,0.04,37169227
141,rGzX1VMQpextCR98yYEHS2W7DCtRPTK3WF,,36983190,,0.04,36983190
142,rMvCasZ9cohYrSZRNYPTZfoaaSUQMfgQ8G,Bybit (4),36792501,,0.04,36792501
143,rrKjsvBUgcok6UL6vHwmdrM8M9mxw5ohP,,36230597,,0.04,36230597
144,rUWUJ2F3aZknSd8PVutoMnxowMK792maTD,,35928096,,0.04,35928096
145,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,,35142136,,0.04,35142136
146,rV9JsBSFRMdcxwAFAA6wbzgdYfAHpjN9f,,34989035,,0.04,34989035
147,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,,33587853,,0.03,33587853
148,rMn4SutY41iGtMC87EE9BZ8hFSgBLCZdog,,33507237,,0.03,33507237
149,rJw1o6M4HhQ7i5gbuhkRdZQSg5bDMFYS4W,,32977448,,0.03,32977448
150,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,,32080006,,0.03,32080006
151,rBjDVYtYxkBjcSbzMkSfnc31iSw8nsGR74,,30999900,,0.03,30999900
152,rfycjrGRMav6xcxcWyQ5JKjBFQXbog5K6q,,30999853,,0.03,30999853
153,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),30901818,,0.03,30901818
154,rGNVd8ypXAAtExDGsJ7sV3feoPdwJ9wwAe,,30686027,,0.03,30686027
155,rKbs6qhu8orUJTdNf2q8zbBHGLKJbRYgr1,,30482711,,0.03,30482711
156,rKuP5k67YtHzsCmSQp7votF7u4afp4uNcm,,30023899,,0.03,30023899
157,rPnETQb36p2UzP3bWPuqUeUicxTb9NLEdt,,30000022,,0.03,30000022
158,rhDgyndaMdJXHGYHiSafy6aLynfcjofwmy,,30000018,,0.03,30000018
159,rG5NJxrKGUgrsoLgBjddvpE8NfqLAgA95q,,30000011,,0.03,30000011
160,rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,Bitstamp (1),29824401,500,0.03,29824901
161,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,CoinJar,29616352,,0.03,29616352
162,rsTtGH7a9mom5X8Y9D3kxroXWvA912RgUZ,Coinbase (Cold 176),29576571,,0.03,29576571
163,rEWBvZyGHsQfofVJrmWRyvu7vhBB53r622,Coinbase (Cold 343),29532544,,0.03,29532544
164,rPeuuqP9rNhskesoA3ferKfp6VT5SvLAzU,Coinbase (Cold 299),29532544,,0.03,29532544
165,rnVcQzWJP2sJbJF3GgvdAeqveW1V7dT2Vq,Coinbase (Cold 283),29532544,,0.03,29532544
166,r9mkuV6bpvok7SZ8Zargiw5KzZHDFbaApy,Coinbase (Cold 285),29532544,,0.03,29532544
167,r417XbsvuBJpkMC4eHtGpvAHxgC24mb6Nc,Coinbase (Cold 193),29532544,,0.03,29532544
168,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,Coinbase (Cold 399),29532544,,0.03,29532544
169,rNaJVWotxZ9nGTBiHRWR6LR1deXHa8FRLf,Coinbase (Cold 418),29532544,,0.03,29532544
170,rGriTJKG1i71mLssnwqoV6gPbSEv45nqur,Coinbase (Cold 236),29532544,,0.03,29532544
171,rGG4LZruYFJ34PNCi1doapgA1hynz3gxX7,Coinbase (Cold 125),29532544,,0.03,29532544
172,raMRJ2d3djqwSUBK28W31R7aJQfK21zU1C,Coinbase (Cold 456),29532544,,0.03,29532544
173,rNSFNMo5kfmZWR5Ryb3ZVEMm1ZncxwzMqa,,28619715,,0.03,28619715
174,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,27983802,,0.03,27983802
175,rntSEfdZsxinHymMJDTbxFfZcgwPLBtPb9,,27983801,,0.03,27983801
176,r3Yg4mv2YyBkgdUvctgbnTYtYu3w69rVAS,,27983800,,0.03,27983800
177,rf9HoxMbbc7esbskFxdvjpPgjVdtRb4Mru,,27983800,,0.03,27983800
178,rMC8Gih4GNNJL2QNbyfNHYEwjneX1LHdcc,,27875010,,0.03,27875010
179,rsgwNP2cyRHAcEbuRmboDQ4pmgemMNVZR3,,27847007,,0.03,27847007
180,rPgeFVvofU6zAL6L4AMfgKYQUtUoPeiQbV,,27551278,,0.03,27551278
181,rBRaRTaq99U216NSDt7dFRrfzAtZzyrgS6,Coinbase (Cold 188),27108604,,0.03,27108604
182,rPkUBHkNA41SDWk4RWuXUtKqHJb1oBARiv,,27066768,,0.03,27066768
183,rsVDKTbUceVQqNKrSzYj8HtkVcS7TuRWSN,Coinbase (Cold 36),27047891,,0.03,27047891
184,rBj8PDBTKKuXWJaWbaEtdkV8hq4oxRWhsB,Coinbase (Cold 392),27028666,,0.03,27028666
185,rMJbEvjzqVeGJHs5ySZvuF2dHhWKx69t6G,Coinbase (Cold 100),26951693,,0.03,26951693
186,rw4rHH5LrTUZ5WDXieCPT14E89PwnmXtoV,Coinbase (Cold 48),26897003,,0.03,26897003
187,rNbMpc8JgLKnXs51KVYAmt4zbDvE8kgQEi,Coinbase (Cold 232),26897003,,0.03,26897003
188,rGzwBVxutLLaxfeE4mJWrxHX1SMRxjo7Am,,26700030,,0.03,26700030
189,rnaxGortNCoxkWUq18jCGmQDeCrLBmiz42,Coinbase (Cold 92),26671745,,0.03,26671745
190,rf9CWxJKUwHm4eZo3Z8SHi6Z1D6RoqFqqq,Coinbase (Cold 196),26671745,,0.03,26671745
191,rMsfxSZfdj3F1vBeVRte6b83LMV4AtZAHX,Coinbase (Cold 434),26671745,,0.03,26671745
192,rKmcvfZ4AeVCsJDNLZg3Xwbs86F33sC6bR,Coinbase (Cold 78),26671745,,0.03,26671745
193,rBiCL18zasvY9e8M2ZSub6gyYfzmfK4356,,26600010,,0.03,26600010
194,rhyp1uMC9Xyj3Px8amUH3xVv6tbjYJkojs,Ripple (35),26575132,,0.03,26575132
195,rGMrBbRhpBLhZMzEKQTqhfGQnaTHhrfZCw,,26444446,,0.03,26444446
196,r9YMphxsqY1CQckqzDwfsutJhs9CwbWh97,,26399087,,0.03,26399087
197,rnYzsCmvD35kBntkY5g4kf7hStMGKSQfwz,Coinbase (Cold 149),26371811,,0.03,26371811
198,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,Binance (16),26262461,,0.03,26262461
199,rwvzy5nyGYfQKrgRFARGda6uCtnxLyGRBA,,25989604,,0.03,25989604
200,rwKpWJ54xAZFm5DTr7GUjREx6AK3MpAfae,,25587341,,0.03,25587341
201,rJQC2RzzALgus6ZZgu34nXnpz67v3bRSzi,Coinbase (Cold 210),25526876,,0.03,25526876
202,r939VcVXx5Zx9wJ1TL61StPEKaqaYf75XQ,Coinbase (Cold 104),25498189,,0.03,25498189
203,r9rg8WT6KPXE8FGYbsGG6YaEG6wrbLxqF9,Coinbase (Cold 206),25498189,,0.03,25498189
204,rGoDpsHfkkSvNatyXHZPiJk7qydd7uahQz,Coinbase (Cold 183),25498189,,0.03,25498189
205,raQ3drgGw2eFHTnck6SZxKe2JhQr8Lm8w1,Coinbase (Cold 108),25498189,,0.03,25498189
206,rNYW2bie6KwUSYhhtcnXWzRy5nLCa1UNCn,Bitrue Insurance Fund,25038857,,0.03,25038857
207,rPGnixkUqn7gSgj8MfdUt9S2vjqfT9Lrnw,,25000051,,0.03,25000051
208,r4UuSEwzgjY5CugYNEWqA49hxvvE9ivJne,,25000001,,0.03,25000001
209,rLFcVmFnZXEds2qQ4WH8A5U7xaKEzzkrBa,,25000001,,0.03,25000001
210,rwo9VH8iyq89ZaEipFsFsLgSrMABUkbBVY,,25000000,,0.03,25000000
211,rftUgG8yQLcSRecihGfPsRPez6g7ap7yz2,,25000000,,0.03,25000000
212,r38387ANCJNTnfEeJXZ8DMEsCq9g28w7qJ,,25000000,,0.03,25000000
213,rscK4E94r6KHfPxMCqpH5SB9q5M1NQDtAn,,25000000,,0.03,25000000
214,rp5kDwvghkEVQa48Yc7dyeBK6GUZfrdxYe,,25000000,,0.03,25000000
215,rnxe6F9Vtqtb9RNoKxuPtgrttEtFHM1aiA,,24954962,,0.03,24954962
216,rJnUXy7x3RW58Kien2eFtZEY2Pa3HBvpQ2,,24871614,,0.03,24871614
217,rEMjkJvtZ84uZYU7EpX8GYVbN2BrscTE9Z,,24467929,,0.02,24467929
218,rM7mvLE99LSt5DE7GvcnHVEgefzCZL2T4x,,24400000,,0.02,24400000
219,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,Bitkub (3),24264203,,0.02,24264203
220,rp8Ygdyi2u7DZuMbchpFKBpsgSeg4LXDFQ,,23839902,,0.02,23839902
221,rJ1v4yzovV2BpDav4MegBeejPgwmPZZCNa,,23807094,,0.02,23807094
222,rNUSc5uLSSjf5jrzwPL4TsVab2QM62pgwX,,23599978,,0.02,23599978
223,rsCRCZmdw55EdXXAsQYExFLH5zrvbaFaAm,,23452180,,0.02,23452180
224,rJLsUWGG45Qb4fkJjFuxASdzrJh5gqD2TW,,23225000,,0.02,23225000
225,rJNVodKWXZMZfCd7BGGJpPYPuCdWHyNBq1,,22700000,,0.02,22700000
226,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,Bitfinex (1),22126109,500,0.02,22126609
227,rPmu958m6DTNZ6qfTJbLisHSv3w6BaJrgh,,21606660,,0.02,21606660
228,r9YMtQKy8uBkV66cyCvwiixmqE1VSudoBE,,21592269,,0.02,21592269
229,rLoD9U2ghXP2xUYbtML6G6v1p8LhM9mSnc,,21563219,,0.02,21563219
230,r4vVDzQJsT7HqmPoJy21RGJVUBFUXsQSXT,,21325083,,0.02,21325083
231,rfoQcefqg2eWkR73GTCiqgG1zbii8a2WQJ,,20890942,,0.02,20890942
232,rEENamLrBTUw52GMUjwaogKzonHScXTGyy,,20654951,,0.02,20654951
233,rnWnrbjNw5Ezdqy51a769Rror8U3xRkYxK,Coinbase (Cold 137),20525459,,0.02,20525459
234,rJR2LhwvGW1o5pGKix932ygARegeBGrUf5,,20449743,,0.02,20449743
235,rP4nVwhU3vqwxrPomeBems5h9ZbH2236gU,,20422105,,0.02,20422105
236,r3F5NsyiGwVYs2Rs3cCcrVw4t5wZP2ZxRr,Ripple (6),20000105,,0.02,20000105
237,rKe7pZPwdKEubmEDCAu9djJVsQfK4Atmzr,,20000001,,0.02,20000001
238,rHpmLokR3S5DVvHDDrKzGmhy73USWAV82R,,19990016,,0.02,19990016
239,rNu9U5sSouNoFunHp9e9trsLV6pvsSf54z,Gate.io (4),19923000,,0.02,19923000
240,rPEPYN8sHU3cytBwVm69qPbVztaoj7wNf,Mercado Bitcoin (3),19735794,,0.02,19735794
241,rE9Y3vr1G91YVU8RogzdY84xb48N3rKnvE,,19451792,,0.02,19451792
242,rwSgtqHqWtQGb2SduQQNfwRa1YK9AMtQrR,,19418357,,0.02,19418357
243,r3KfqsuMjp85ddhNN2xNAAbmrNKUgFbcpk,,19369746,,0.02,19369746
244,rETGh3sCUHgXxru589FrpFQK9CJgBWj8Kw,,18948197,,0.02,18948197
245,r93oSNBKuFjuKt8GxhF8VYaGzzwsNDPaX5,Ripple (31),18744808,,0.02,18744808
246,r4qg4tANY3iXLchsFSm62mc2wmQyKvX3qf,,18400000,,0.02,18400000
247,rDPsqUeQCjkgfVJe2GEdxq9k8zwAx3YAkz,,18300000,,0.02,18300000
248,rhw8wP5dNi5xtRS4ne5kdtxsejf8W2M7iD,,18300000,,0.02,18300000
249,r3EjD8wKrtWbsjZxaSfAoifEDWosh49Twe,,17987068,,0.02,17987068
250,r4Pr9aBnqN84hbkmJo4HwUtLj63E5vGFyE,,17960406,,0.02,17960406
251,rDvdAQYaU8EnKH7c6F4W51ywWV58dJCWCx,,17799978,,0.02,17799978
252,rUzUMfsvSYxj9nMHRnSeYQXkY1rfoXgdZN,,17673785,,0.02,17673785
253,rUHDGGUSVPS6HcGrr5r67EQ4LTC4Kis3HR,,17643306,,0.02,17643306
254,raHzpPMCZKQpYBpwxXTbak2ZhYp89fjTS3,,16999956,,0.02,16999956
255,rwTjgH22nenAtDpPWy4g7xPhBqhVU845Az,Coinbase (Cold 265),16830264,,0.02,16830264
256,rBAzrxLFZSqni5K67kPqX3WN7VLDTcUVWJ,Coinbase (Cold 375),16820747,,0.02,16820747
257,rnioNuMG47FKY7sZ82EtKt1kBfD4Lg5M4S,Coinbase (Cold 122),16820483,,0.02,16820483
258,rMAxoQbdkCHYpH9VTmdiyrR1F7T4Yvyk2k,Coinbase (Cold 400),16814137,,0.02,16814137
259,rUejaQ5zgB7fMKhj72SPK7xAdGo6ujx2ca,Coinbase (Cold 87),16812902,,0.02,16812902
260,rGK3t5Ppw46RciqcHtrUtvcvhD7M99HJvU,Coinbase (Cold 379),16812124,,0.02,16812124
261,rUb2Ds39TAXnnbKekuUmJsZk11BaenHWHG,Coinbase (Cold 353),16812124,,0.02,16812124
